id,run_id,cat_no,colour,qty
231,5,152,GOLD,0
232,5,513,PINK,20
233,5,183-W,WINE,0
234,5,187,WHITE,0
235,5,145,WHITE,0
236,5,121,WHITE,0
237,5,124,WHITE,0
238,5,123,WHITE,0
239,5,127,WHITE,0
240,5,181-C,WHITE,0
241,5,701,WHITE,0
242,5,701,BLUE,0
243,5,701,PINK,0
244,5,513,WHITE,0
245,5,667,WHITE,24
246,5,3272-C,WHITE,0
247,5,151-S,GOLD,0
248,5,152,GOLD,0
249,5,187-P,PEACH,10
250,5,3272,WHITE,0
251,5,187,WHITE,0
252,5,183,PINK,112
253,5,123-NNR,R BLUE,54
254,5,129-NR,R BLUE,28
255,5,1322-NR,R BLUE,30
256,5,147-NR,R BLUE,30
257,5,144-NR,R BLUE,66
258,5,123-DR,R BLUE,66
259,5,144-DR,R BLUE,132
260,5,130-DR,R BLUE,30
261,5,187-R,R BLUE,22
262,5,183-R,R BLUE,14
263,5,1813-C,PINK,0
264,5,128,WHITE,0
265,5,129,WHITE,0
266,5,129,PINK,0
267,5,130,PINK,0
268,5,132,WHITE,0
269,5,143,WHITE,0
270,5,145,WHITE,0
271,5,145,PINK,0
272,5,147,WHITE,0
273,5,183,WHITE,0
274,5,120-WS,WHITE,0
275,5,1375-S,WHITE,0
276,5,123,PINK,0
277,5,187,PINK,0
278,5,121-O,PINK,0
279,5,324,PINK,0
280,5,123,WHITE,0
281,5,144,WHITE,0
282,5,187,WHITE,0
283,5,121-O,WHITE,0
284,5,123-NNB,DARK BLUE,108
285,5,124-NB,DARK BLUE,66
286,5,132-NB,DARK BLUE,26
287,5,133-NB,DARK BLUE,13
288,5,123-QP,PEACH,66
289,5,124-QP,PEACH,66
290,5,132-QP,PEACH,30
291,5,133-QP,PEACH,13
292,5,187-R,R BLUE,22
293,5,187,WHITE,0
294,5,1815-C,WHITE,0
295,5,1817-C,WHITE,0
296,5,P-121,GREY,0
297,5,P-124,GREY,0
298,5,P-144,GREY,0
299,5,123-U,WHITE,33
300,5,120-WS,WHITE,0
301,5,153,GOLD,0
302,5,188,WHITE,0
303,5,124-SR,R BLUE,54
304,5,121-SR,R BLUE,108
305,5,QD-34,WHITE,30
306,5,QD-35,WHITE,30
307,5,QD-20,WHITE,210
308,5,QD-24,,30
309,5,150-U,WHITE,28
310,5,123-U,WHITE,66
311,5,147-U,WHITE,30
312,5,145-U,WHITE,23
313,5,129-U,WHITE,24
314,5,183,WHITE,14
315,5,145-Q,IVORY,23
316,5,129-Q,IVORY,24
317,5,150-Q,IVORY,14
318,5,132-Q,IVORY,30
319,5,132-U,WHITE,26
320,5,124-QR,R BLUE,66
321,5,144-QR,R BLUE,132
322,5,123-QR,R BLUE,66
323,5,123-Q,IVORY,33
324,5,144-Q,IVORY,66
325,5,121,WHITE,0
326,5,701,WHITE,0
327,5,122-L,WHITE,33
328,5,139,WHITE,0
329,5,127,WHITE,0
330,5,121-O,WHITE,0
331,5,124-O,WHITE,0
332,5,123-NNG,GOLD,1
333,5,124-NG,GOLD,1
334,5,144-NG,GOLD,1
335,5,130-NG,GOLD,1
336,5,1375-NG,GOLD,1
337,5,124-LSB,BLUE,120
338,5,1375-LSB,BLUE,270
339,5,147-LSQB,BLUE,52
340,5,123-LSB,BLUE,184
341,5,127-LSB,BLUE,52
342,5,129-LSB,BLUE,120
343,5,130-LSB,BLUE,52
344,5,131-LSB,BLUE,52
345,5,132-LSB,BLUE,198
346,5,132-LSTB,BLUE,240
347,5,133-LSB,BLUE,184
348,5,144-LSB,BLUE,52
349,5,145-LSB,BLUE,132
350,5,147-LSB,BLUE,90
